"participant","age","sex","Trial","targetWord","formantZ","FormantType","location"
"PP1",26,"F",68,"ZET",0.139341790856665,"F1","lab"
"PP1",26,"F",69,"BED",0.0300738040161518,"F1","lab"
"PP1",26,"F",70,"NET",-2.92995897849545,"F1","lab"
"PP1",26,"F",71,"VET",0.236419762599874,"F1","lab"
"PP1",26,"F",72,"PET",0.461404169606261,"F1","lab"
"PP1",26,"F",73,"BED",NA,"F1","lab"
"PP1",26,"F",74,"PET",0.51290983625556,"F1","lab"
"PP1",26,"F",75,"NET",-3.03022146643329,"F1","lab"
"PP1",26,"F",76,"ZET",-0.468583750577441,"F1","lab"
"PP1",26,"F",77,"VET",-0.108991599839143,"F1","lab"
"PP1",26,"F",78,"WET",NA,"F1","lab"
"PP1",26,"F",79,"VET",0.465641669309393,"F1","lab"
"PP1",26,"F",80,"PET",0.373942425574845,"F1","lab"
"PP1",26,"F",81,"ZET",-1.34727668454623,"F1","lab"
"PP1",26,"F",82,"WET",-0.193554117232677,"F1","lab"
"PP1",26,"F",83,"BED",0.569910528601346,"F1","lab"
"PP1",26,"F",84,"NET",-2.89072287470782,"F1","lab"
"PP1",26,"F",85,"NET",-3.23886990304667,"F1","lab"
"PP1",26,"F",86,"PET",0.498307511362421,"F1","lab"
"PP1",26,"F",87,"VET",0.516615832165887,"F1","lab"
"PP1",26,"F",88,"ZET",3.87630922697688,"F1","lab"
"PP1",26,"F",89,"WET",NA,"F1","lab"
"PP1",26,"F",90,"BED",0.236221532932114,"F1","lab"
"PP1",26,"F",91,"NET",-2.15273255080028,"F1","lab"
"PP1",26,"F",92,"WET",NA,"F1","lab"
"PP1",26,"F",93,"PET",-0.29079430845556,"F1","lab"
"PP1",26,"F",94,"BED",-0.243395953537609,"F1","lab"
"PP1",26,"F",95,"VET",0.360936335352541,"F1","lab"
"PP1",26,"F",96,"ZET",0.689899178616329,"F1","lab"
"PP10",22,"M",97,"ZET",NA,"F1","lab"
"PP10",22,"M",98,"PET",NA,"F1","lab"
"PP10",22,"M",99,"BED",NA,"F1","lab"
"PP10",22,"M",100,"VET",0.609269495730806,"F1","lab"
"PP10",22,"M",101,"NET",NA,"F1","lab"
"PP10",22,"M",102,"WET",NA,"F1","lab"
"PP10",22,"M",103,"WET",NA,"F1","lab"
"PP10",22,"M",104,"BED",NA,"F1","lab"
"PP10",22,"M",105,"VET",NA,"F1","lab"
"PP10",22,"M",106,"ZET",NA,"F1","lab"
"PP10",22,"M",107,"NET",-2.8691296967247,"F1","lab"
"PP10",22,"M",108,"PET",NA,"F1","lab"
"PP10",22,"M",109,"NET",NA,"F1","lab"
"PP10",22,"M",110,"VET",NA,"F1","lab"
"PP10",22,"M",111,"WET",NA,"F1","lab"
"PP10",22,"M",112,"PET",NA,"F1","lab"
"PP10",22,"M",113,"ZET",13.3152255601588,"F1","lab"
"PP10",22,"M",114,"BED",NA,"F1","lab"
"PP10",22,"M",25,"VET",NA,"F1","lab"
"PP10",22,"M",26,"WET",0.329831069287044,"F1","lab"
"PP10",22,"M",27,"ZET",-3.00382664273182,"F1","lab"
"PP10",22,"M",28,"BED",0.281663480352582,"F1","lab"
"PP10",22,"M",29,"NET",0.413137371963079,"F1","lab"
"PP10",22,"M",30,"PET",NA,"F1","lab"
"PP10",22,"M",31,"WET",0.259557563277134,"F1","lab"
"PP10",22,"M",32,"NET",0.619743925384283,"F1","lab"
"PP10",22,"M",33,"VET",0.91789610623832,"F1","lab"
"PP10",22,"M",34,"ZET",NA,"F1","lab"
"PP10",22,"M",35,"BED",NA,"F1","lab"
"PP10",22,"M",36,"PET",0.387989213815706,"F1","lab"
"PP10",22,"M",37,"NET",NA,"F1","lab"
"PP10",22,"M",38,"PET",NA,"F1","lab"
"PP10",22,"M",39,"ZET",NA,"F1","lab"
"PP10",22,"M",40,"VET",NA,"F1","lab"
"PP10",22,"M",41,"BED",NA,"F1","lab"
"PP10",22,"M",42,"WET",NA,"F1","lab"
"PP10",22,"M",43,"NET",NA,"F1","lab"
"PP10",22,"M",44,"VET",NA,"F1","lab"
"PP10",22,"M",46,"BED",0.506540157465033,"F1","lab"
"PP10",22,"M",47,"WET",NA,"F1","lab"
"PP10",22,"M",48,"PET",NA,"F1","lab"
"PP10",22,"M",1,"VET",0.8204624532739,"F1","lab"
"PP10",22,"M",2,"BED",0.187884679511909,"F1","lab"
"PP10",22,"M",3,"PET",NA,"F1","lab"
"PP10",22,"M",4,"WET",0.270230440039258,"F1","lab"
"PP10",22,"M",5,"ZET",NA,"F1","lab"
"PP10",22,"M",6,"NET",-3.07666760269278,"F1","lab"
"PP10",22,"M",7,"NET",NA,"F1","lab"
"PP10",22,"M",8,"BED",0.00210486978373112,"F1","lab"
"PP10",22,"M",9,"WET",-0.108414768683368,"F1","lab"
"PP10",22,"M",10,"ZET",NA,"F1","lab"
"PP10",22,"M",11,"PET",NA,"F1","lab"
"PP10",22,"M",12,"VET",0.364927863444925,"F1","lab"
"PP10",22,"M",13,"PET",NA,"F1","lab"
"PP10",22,"M",14,"VET",NA,"F1","lab"
"PP10",22,"M",15,"ZET",NA,"F1","lab"
"PP10",22,"M",16,"NET",-0.178952677200213,"F1","lab"
"PP10",22,"M",17,"WET",0.846801926719488,"F1","lab"
"PP10",22,"M",18,"BED",0.315976450770595,"F1","lab"
